site,block,season_condition,termite_treatment_abbreviation,harvest,SampleID,init_dry_wt,deployment_date,harvest_date,insect_present,termite_present,fungi_present,soil_present,root_present,fire_present_2021,fire_present_2019,Termite_Class,Fungi_Class,Fire_Class,Field_fresh_wt,Collar,fresh_volume,Lab_As.,FW_Wood,FW_Excess,FW_Carton,FW_Soil,Sawdust_FW,Post_drill_FW,DW_Wood,DW_Excess,DW_Carton,DW_Soil,damage_bag,harvest_dry_wt,Species.Code,date_diff,pct.mass.rem,pro.mass.loss,termite.attack,months,station,mass.loss,dry.wet
YOUNG_RESCUE,rescue_I,NA,TE,2,1369,174.02,2018-06-12,2019-07-18,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,168.37,NA,NA,NA,NA,168.37,PIRA,401,96.7532467532467,0.0324675324675325,0,12,YOUNG_RESCUE.PIRA.rescue_I,5.65000000000001,NA
YOUNG_RESCUE,rescue_I,WET,TE,6,1370,181.11,2018-06-12,2021-06-09,1,0,1,1,1,0,NA,0,3,0,267.03,5,0.44,2A,253.74,0,0,4.09,NA,NA,93.24,0,0,2.42,0,93.24,PIRA,1093,51.4825244326652,0.485174755673348,0,36,YOUNG_RESCUE.PIRA.rescue_I,87.87,NA
YOUNG_RESCUE,rescue_I,NA,TE,8,1371,179.15,2018-06-12,2022-06-13,1,0,1,1,1,0,0,0,2,0,346.75,5,0.47,3,341.65,NA,NA,NA,NA,NA,121.38,NA,NA,NA,NA,121.38,PIRA,1462,67.7532793748256,0.322467206251744,0,48,YOUNG_RESCUE.PIRA.rescue_I,57.77,NA
YOUNG_RESCUE,rescue_I,NA,TE,7,1372,179.66,2018-06-12,2021-12-07,0,0,1,1,1,NA,NA,0,2,0,202.5,5,0.43,2a,173.28,1.68,NA,NA,6.5505,162.86,89.484,NA,NA,1.164,NA,89.484,PIRA,1274,49.8074140042302,0.501925859957698,1,42,YOUNG_RESCUE.PIRA.rescue_I,90.176,0.549453518359327
YOUNG_RESCUE,rescue_J,WET,TE,6,1373,177.26,2018-06-12,2021-06-09,0,0,1,1,1,0,NA,0,3,0,324.19,5,0.46,2A,314.07,0,0,0,NA,NA,110.45,0,0,0,0,110.45,PIRA,1093,62.3096017149949,0.376903982850051,0,36,YOUNG_RESCUE.PIRA.rescue_J,66.81,NA
YOUNG_RESCUE,rescue_J,NA,TE,1,1374,160.56,2018-06-12,2018-12-11,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.425,NA,NA,NA,NA,NA,NA,NA,157.55,NA,NA,NA,NA,157.55,PIRA,182,98.1253114100648,0.0187468858993521,0,6,YOUNG_RESCUE.PIRA.rescue_J,3.00999999999999,NA
YOUNG_RESCUE,rescue_J,NA,TE,2,1375,143.66,2018-06-12,2019-07-18,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,132.13,NA,NA,NA,NA,132.13,PIRA,401,91.9741055269386,0.080258944730614,0,12,YOUNG_RESCUE.PIRA.rescue_J,11.53,NA
YOUNG_RESCUE,rescue_J,NA,TE,7,1376,173.66,2018-06-12,2021-12-07,0,1,1,1,1,NA,NA,3,3,0,179.21,5,0.46,4,141.75,13.24,NA,NA,9.6192,112.68,51.044,8.034,NA,NA,NA,59.078,PIRA,1274,34.0193481515605,0.659806518484395,1,42,YOUNG_RESCUE.PIRA.rescue_J,114.582,0.452999645012425
YOUNG_RESCUE,rescue_J,NA,TE,4,1377,178.26,2018-06-12,2020-07-25,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA,NA,NA,162.02,NA,NA,NA,NA,162.02,PIRA,774,90.8897116571301,0.0911028834286995,0,24,YOUNG_RESCUE.PIRA.rescue_J,16.24,NA
YOUNG_RESCUE,rescue_J,NA,TE,8,1378,177.87,2018-06-12,2022-06-13,1,0,1,1,1,0,0,0,3,0,235.75,5,0.46,4,220.9,7.48,NA,NA,NA,NA,70.39,2.63,NA,NA,NA,73.02,PIRA,1462,41.052454039467,0.58947545960533,0,48,YOUNG_RESCUE.PIRA.rescue_J,104.85,NA
YOUNG_RESCUE,rescue_J,DRY,TE,5,1379,161.98,2018-06-12,2020-12-05,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,43.57,5.02,NA,NA,1,48.59,PIRA,907,29.9975305593283,0.700024694406717,1,30,YOUNG_RESCUE.PIRA.rescue_J,113.39,NA
YOUNG_RESCUE,rescue_J,NA,TE,3,1380,170.23,2018-06-12,2019-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,159.96,NA,NA,NA,NA,159.96,PIRA,541,93.9669858426834,0.0603301415731657,0,18,YOUNG_RESCUE.PIRA.rescue_J,10.27,NA
